Date,Open,High,Low,Close
2021-11-15,1309.04,1310.54,1303.15,1304.92
2021-11-16,1307.29,1312.65,1306.22,1307.01
2021-11-17,1306.43,1308.90,1301.23,1303.07
2021-11-18,1303.07,1306.03,1298.87,1304.79
2021-11-19,1301.90,1305.02,1298.74,1300.29
2021-11-22,1303.35,1303.35,1292.04,1292.14
2021-11-23,1293.07,1299.21,1289.90,1296.43
2021-11-24,1291.89,1302.98,1289.42,1302.37
2021-11-25,1304.45,1309.28,1303.51,1306.77
2021-11-26,1293.46,1293.46,1275.20,1277.41
2021-11-29,1284.81,1288.19,1271.81,1278.28
2021-11-30,1273.34,1276.53,1248.56,1248.56
2021-12-01,1265.55,1271.05,1239.19,1239.33
2021-12-02,1242.31,1263.27,1240.71,1257.81
2021-12-03,1260.76,1261.55,1242.93,1251.60
2021-12-06,1254.06,1266.53,1250.06,1264.32
2021-12-07,1274.75,1284.80,1274.67,1281.41
2021-12-08,1279.62,1279.62,1275.40,1277.68
2021-12-09,1271.77,1274.56,1267.32,1269.46
2021-12-10,1274.58,1275.43,1264.59,1268.11
